# ---------------------------------- WARNING ----------------------------------------,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,
# have not received Director's approval and as such are provisional and subject to,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,
# Additional info: http://waterdata.usgs.gov/or/nwis/help/?provisional,,,,
#,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2008-11-24 17:47:38 EST,,,,
#,,,,
# Data for the following site(s) are contained in this file,,,,
"#    USGS 14158500 MCKENZIE RIVER AT OUTLET OF CLEAR LAKE, OR",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 14158500,,,,
#    DD parameter statistic   Description,,,,
"#    01   00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output: ,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,
#     P  Provisional data subject to revision.  ,,,,
#     e  Value has been estimated.  ,,,,
# ,,,,
5s,15s,16d,14n,10s
agency_cd,site_no,date,discharge,01_00060_00003_cd
USGS,14158500,10/1/1912,256,A
USGS,14158500,10/2/1912,254,A
USGS,14158500,10/3/1912,252,A
USGS,14158500,10/4/1912,252,A
USGS,14158500,10/5/1912,250,A
USGS,14158500,10/6/1912,248,A
USGS,14158500,10/7/1912,246,A
USGS,14158500,10/8/1912,246,A
USGS,14158500,10/9/1912,242,A
USGS,14158500,10/10/1912,241,A
USGS,14158500,10/11/1912,239,A
USGS,14158500,10/12/1912,238,A
USGS,14158500,10/13/1912,238,A
USGS,14158500,10/14/1912,236,A
USGS,14158500,10/15/1912,235,A
USGS,14158500,10/16/1912,233,A
USGS,14158500,10/17/1912,235,A
USGS,14158500,10/18/1912,230,A
USGS,14158500,10/19/1912,247,A
USGS,14158500,10/20/1912,236,A
USGS,14158500,10/21/1912,234,A
USGS,14158500,10/22/1912,264,A
USGS,14158500,10/23/1912,264,A
USGS,14158500,10/24/1912,262,A
USGS,14158500,10/25/1912,272,A
USGS,14158500,10/26/1912,282,A
USGS,14158500,10/27/1912,287,A
USGS,14158500,10/28/1912,292,A
USGS,14158500,10/29/1912,300,A
USGS,14158500,10/30/1912,305,A
USGS,14158500,10/31/1912,303,A
USGS,14158500,11/1/1912,303,A
USGS,14158500,11/2/1912,303,A
USGS,14158500,11/3/1912,307,A
USGS,14158500,11/4/1912,309,A
USGS,14158500,11/5/1912,323,A
USGS,14158500,11/6/1912,338,A
USGS,14158500,11/7/1912,349,A
USGS,14158500,11/8/1912,364,A
USGS,14158500,11/9/1912,409,A
USGS,14158500,11/10/1912,434,A
USGS,14158500,11/11/1912,487,A
USGS,14158500,11/12/1912,869,A
USGS,14158500,11/13/1912,980,A
USGS,14158500,11/14/1912,902,A
USGS,14158500,11/15/1912,820,A
USGS,14158500,11/16/1912,784,A
USGS,14158500,11/17/1912,763,A
USGS,14158500,11/18/1912,738,A
USGS,14158500,11/19/1912,731,A
USGS,14158500,11/20/1912,694,A
USGS,14158500,11/21/1912,657,A
USGS,14158500,11/22/1912,606,A
USGS,14158500,11/23/1912,566,A
USGS,14158500,11/24/1912,529,A
USGS,14158500,11/25/1912,499,A
USGS,14158500,11/26/1912,478,A
USGS,14158500,11/27/1912,460,A
USGS,14158500,11/28/1912,439,A
USGS,14158500,11/29/1912,409,A
USGS,14158500,11/30/1912,406,A
USGS,14158500,12/1/1912,395,A
USGS,14158500,12/2/1912,392,A
USGS,14158500,12/3/1912,387,A
USGS,14158500,12/4/1912,390,A
USGS,14158500,12/5/1912,374,A
USGS,14158500,12/6/1912,364,A
USGS,14158500,12/7/1912,361,A
USGS,14158500,12/8/1912,354,A
USGS,14158500,12/9/1912,349,A
USGS,14158500,12/10/1912,344,A
USGS,14158500,12/11/1912,339,A
USGS,14158500,12/12/1912,337,A
USGS,14158500,12/13/1912,337,A
USGS,14158500,12/14/1912,335,A
USGS,14158500,12/15/1912,335,A
USGS,14158500,12/16/1912,339,A
USGS,14158500,12/17/1912,332,A
USGS,14158500,12/18/1912,347,A
USGS,14158500,12/19/1912,339,A
USGS,14158500,12/20/1912,337,A
USGS,14158500,12/21/1912,337,A
USGS,14158500,12/22/1912,339,A
USGS,14158500,12/23/1912,345,A
USGS,14158500,12/24/1912,347,A
USGS,14158500,12/25/1912,347,A
USGS,14158500,12/26/1912,341,A
USGS,14158500,12/27/1912,344,A
USGS,14158500,12/28/1912,343,A
USGS,14158500,12/29/1912,350,A
USGS,14158500,12/30/1912,355,A
USGS,14158500,12/31/1912,377,A
USGS,14158500,1/1/1913,365,A
USGS,14158500,1/2/1913,370,A
USGS,14158500,1/3/1913,395,A
USGS,14158500,1/4/1913,403,A
USGS,14158500,1/5/1913,404,A
USGS,14158500,1/6/1913,411,A
USGS,14158500,1/7/1913,425,A
USGS,14158500,1/8/1913,436,A
USGS,14158500,1/9/1913,458,A
USGS,14158500,1/10/1913,466,A
USGS,14158500,1/11/1913,472,A
USGS,14158500,1/12/1913,469,A
USGS,14158500,1/13/1913,460,A
