STCODE,FORMAT,SITECODE,WATERYEAR,month,day,year,MEAN_Q_cfs,MAX_Q,MIN_Q,MEAN_Q_AREA (cfs/mi^2),TOTAL_Q_AREA (inches),ESTCODE
HF004,2,GSLOOK,1950,10,1,1949,11,11,11,0.46,0.017,A
HF004,2,GSLOOK,1950,10,2,1949,11,11,11,0.46,0.017,A
HF004,2,GSLOOK,1950,10,3,1949,11,11,11,0.46,0.017,A
HF004,2,GSLOOK,1950,10,4,1949,14,26,11,0.58,0.022,A
HF004,2,GSLOOK,1950,10,5,1949,56,72,26,2.33,0.087,A
HF004,2,GSLOOK,1950,10,6,1949,61,79,41,2.54,0.094,A
HF004,2,GSLOOK,1950,10,7,1949,40,60,33,1.66,0.062,A
HF004,2,GSLOOK,1950,10,8,1949,27,33,25,1.12,0.042,A
HF004,2,GSLOOK,1950,10,9,1949,56,124,25,2.33,0.087,A
HF004,2,GSLOOK,1950,10,10,1949,68,98,54,2.83,0.105,A
HF004,2,GSLOOK,1950,10,11,1949,77,79,69,3.2,0.119,A
HF004,2,GSLOOK,1950,10,12,1949,58,69,49,2.41,0.09,A
HF004,2,GSLOOK,1950,10,13,1949,41,49,35,1.7,0.063,A
HF004,2,GSLOOK,1950,10,14,1949,32,35,29,1.33,0.049,A
HF004,2,GSLOOK,1950,10,15,1949,27,29,26,1.12,0.042,A
HF004,2,GSLOOK,1950,10,16,1949,24,26,23,1,0.037,A
HF004,2,GSLOOK,1950,10,17,1949,22,23,22,0.91,0.034,A
HF004,2,GSLOOK,1950,10,18,1949,21,23,21,0.87,0.032,A
HF004,2,GSLOOK,1950,10,19,1949,20,21,19,0.83,0.031,A
HF004,2,GSLOOK,1950,10,20,1949,19,20,19,0.79,0.029,A
HF004,2,GSLOOK,1950,10,21,1949,19,19,19,0.79,0.029,A
HF004,2,GSLOOK,1950,10,22,1949,18,19,18,0.75,0.028,A
HF004,2,GSLOOK,1950,10,23,1949,18,18,18,0.75,0.028,A
HF004,2,GSLOOK,1950,10,24,1949,16,18,15,0.67,0.025,A
HF004,2,GSLOOK,1950,10,25,1949,16,16,15,0.67,0.025,A
HF004,2,GSLOOK,1950,10,26,1949,16,16,16,0.67,0.025,A
HF004,2,GSLOOK,1950,10,27,1949,16,18,16,0.67,0.025,A
HF004,2,GSLOOK,1950,10,28,1949,32,57,18,1.33,0.049,A
HF004,2,GSLOOK,1950,10,29,1949,35,49,29,1.46,0.054,A
HF004,2,GSLOOK,1950,10,30,1949,26,29,24,1.08,0.04,A
HF004,2,GSLOOK,1950,10,31,1949,22,24,22,0.91,0.034,A
HF004,2,GSLOOK,1950,11,1,1949,20,22,20,0.83,0.031,A
HF004,2,GSLOOK,1950,11,2,1949,19,20,19,0.79,0.029,A
HF004,2,GSLOOK,1950,11,3,1949,18,19,18,0.75,0.028,A
HF004,2,GSLOOK,1950,11,4,1949,18,18,17,0.75,0.028,A
HF004,2,GSLOOK,1950,11,5,1949,16,18,15,0.67,0.025,A
HF004,2,GSLOOK,1950,11,6,1949,16,17,15,0.67,0.025,A
