DBCODE,ENTITY,SITECODE,PRECIP_METHOD,HEIGHT,QC_LEVEL,PROBE_CODE,date,PRECIP_TOT_DAY,PRECIP_TOT_FLAG,EVENT_CODE
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/1/1957,4.1,A,METHOD
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/2/1957,27.4,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/3/1957,22.9,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/4/1957,9.4,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/5/1957,5.3,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/6/1957,17.3,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/7/1957,5.8,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/8/1957,9.1,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/9/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/10/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/11/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/12/1957,17.5,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/13/1957,16,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/14/1957,0.5,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/15/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/16/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/17/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/18/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/19/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/20/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/21/1957,0,A,NA
MS001,3,CS2MET,PPT101,260,2D,PPTCS201,10/22/1957,0.8,A,NA
